mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.02999115759785523,0.8521972656250001,191.07674884796143,16,0.03951229212763696,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,100.65909504890442,1
0.03831346992991696,0.8673339843750001,332.6613006591797,32,0.021752956791932454,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,144.26653790473938,1
0.017071466920723463,0.914404296875,635.7586588859558,64,0.010099132149715917,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,102.59630799293518,1
0.02093884216577445,0.926318359375,1216.2584784030914,128,0.005514699973599324,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,101.10541939735413,1
0.026871652359008943,0.9016601562500002,2263.0719125270844,256,0.0031517869040973423,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,100.8774483203888,1
0.04989256570568451,0.8641113281250001,183.1700415611267,16,0.03708711402420739,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,140.55288100242615,1
0.03590091337040486,0.8840332031250001,331.498432636261,32,0.0211250249580619,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.78453493118286,1
0.02303212499667836,0.8969726562500001,611.9511532783508,64,0.015209991956419922,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,101.88095283508301,1
0.017588370320199425,0.9206054687500002,1157.9750065803528,128,0.003262455199925296,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,142.9470989704132,1
0.021009162845406056,0.9173339843750001,2284.591029405594,256,0.0024919288909163173,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.8631911277771,1
0.07855643097871555,0.8089355468750001,185.02943968772888,16,0.1012517929525506,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,99.51139974594116,1
0.0441711272539191,0.85322265625,319.83229207992554,32,0.0667568394785415,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,98.48141622543335,1
0.023807951947167318,0.90087890625,613.6197645664215,64,0.009619492630951854,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.89862942695618,1
0.018599504779355663,0.9085449218750001,1165.1234648227692,128,0.005869479181179749,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,184.39057326316833,1
0.020022609806154945,0.9043457031250001,2232.8365836143494,256,0.0016356977596753142,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,100.6085946559906,1
0.026413732954755038,0.8855957031250001,177.5812828540802,16,0.03580697646489134,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,98.64884829521179,1
0.05569073818722744,0.8700683593750002,332.1512460708618,32,0.029184007651725463,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,98.82850360870361,1
0.03496722950020849,0.8701660156250002,584.8823916912079,64,0.013310169303493713,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,140.93814206123352,1
0.027347314891204514,0.8846679687500001,1183.1450409889221,128,0.004393698383071687,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,139.3314242362976,1
0.02425875780871644,0.901318359375,2319.1818323135376,256,0.0021803618044422546,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,100.45707154273987,1
0.04648449929496312,0.8838378906250002,179.65654945373535,16,0.05492372158641884,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,141.06941533088684,1
0.06302857529089319,0.868115234375,327.85287070274353,32,0.028040814904671696,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.38106560707092,1
0.0293177048540385,0.8879882812500002,615.3456921577454,64,0.008778052627320454,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,99.94456458091736,1
0.023849315227364727,0.9097656250000001,1167.8470969200134,128,0.003024894469370709,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,144.00033020973206,1
0.01842642568745819,0.920361328125,2262.3204584121704,256,0.0034023282890562334,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,143.37691736221313,1
0.03126562310721719,0.8810058593750001,181.97917246818542,16,0.06433415283985194,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,139.92159819602966,1
0.04683310273413385,0.8562011718750001,333.4783866405487,32,0.017046975669536946,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,99.58237051963806,1
0.028500894393219598,0.8870605468750001,615.9242763519287,64,0.009705627218512869,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,102.39387965202332,1
0.024520773902791813,0.9160644531250001,1196.8793013095856,128,0.00961226704522622,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,100.5768404006958,1
0.020743004858115806,0.9065429687500002,2286.9058859348297,256,0.0029489223487704774,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,99.78687477111816,1
0.05400809277873739,0.8686523437500001,189.5053563117981,16,0.04484362930028396,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,16,100.2148368358612,1
0.07481666502174067,0.8680175781250001,335.37411999702454,32,0.04749051099034757,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,32,141.3189034461975,1
0.029996425868203367,0.913525390625,606.834203004837,64,0.007303392198772185,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,64,100.77686309814453,1
0.02023632867372147,0.8941406250000001,1154.4627487659454,128,0.0045100148527930095,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,128,100.28005051612854,1
0.02135443349254842,0.8998046875000001,2143.376446247101,256,0.0033180502879960327,shap,kernel,arfpy,none,Not needed,Not needed,Not needed,256,98.1066460609436,1
